,,LINK
,close,daily_return
time,,
2019-09-01,1.78,-0.01111111111
2019-09-02,1.77,-0.005617977528
2019-09-03,1.81,0.02259887006
2019-09-04,1.85,0.02209944751
2019-09-05,1.78,-0.03783783784
2019-09-06,1.8,0.01123595506
2019-09-07,1.73,-0.03888888889
2019-09-08,1.77,0.02312138728
2019-09-09,1.83,0.03389830508
2019-09-10,1.79,-0.0218579235
2019-09-11,1.81,0.01117318436
2019-09-12,1.73,-0.04419889503
2019-09-13,1.71,-0.01156069364
2019-09-14,1.58,-0.07602339181
2019-09-15,1.57,-0.006329113924
2019-09-16,1.61,0.02547770701
2019-09-17,1.58,-0.01863354037
2019-09-18,1.62,0.0253164557
2019-09-19,1.8,0.1111111111
2019-09-20,1.87,0.03888888889
2019-09-21,1.82,-0.02673796791
2019-09-22,1.88,0.03296703297
2019-09-23,1.81,-0.03723404255
2019-09-24,1.8,-0.005524861878
2019-09-25,1.75,-0.02777777778
2019-09-26,1.75,0
2019-09-27,1.66,-0.05142857143
2019-09-28,1.66,0
2019-09-29,1.68,0.01204819277
2019-09-30,1.71,0.01785714286
2019-10-01,1.76,0.02923976608
2019-10-02,2.01,0.1420454545
2019-10-03,2.01,0
2019-10-04,1.99,-0.009950248756
2019-10-05,1.97,-0.01005025126
2019-10-06,1.97,0
2019-10-07,2.17,0.1015228426
2019-10-08,2.39,0.1013824885
2019-10-09,2.57,0.07531380753
2019-10-10,2.8,0.08949416342
2019-10-11,2.63,-0.06071428571
2019-10-12,2.75,0.04562737643
2019-10-13,2.6,-0.05454545455
2019-10-14,2.5,-0.03846153846
2019-10-15,2.53,0.012
2019-10-16,2.39,-0.05533596838
2019-10-17,2.38,-0.004184100418
2019-10-18,2.42,0.01680672269
2019-10-19,2.35,-0.02892561983
2019-10-20,2.35,0
2019-10-21,2.43,0.03404255319
2019-10-22,2.63,0.08230452675
2019-10-23,2.6,-0.01140684411
2019-10-24,2.61,0.003846153846
2019-10-25,2.73,0.04597701149
2019-10-26,2.84,0.04029304029
2019-10-27,2.75,-0.03169014085
2019-10-28,2.66,-0.03272727273
2019-10-29,2.66,0
2019-10-30,2.66,0
2019-10-31,2.61,-0.01879699248
2019-11-01,2.73,0.04597701149
2019-11-02,2.72,-0.003663003663
2019-11-03,2.7,-0.007352941176
2019-11-04,2.67,-0.01111111111
2019-11-05,2.67,0
2019-11-06,2.67,0
2019-11-07,2.73,0.02247191011
2019-11-08,2.68,-0.01831501832
2019-11-09,2.71,0.01119402985
2019-11-10,2.8,0.0332103321
2019-11-11,2.78,-0.007142857143
2019-11-12,2.74,-0.01438848921
2019-11-13,2.82,0.02919708029
2019-11-14,3.01,0.06737588652
2019-11-15,3.05,0.01328903654
2019-11-16,3.03,-0.006557377049
2019-11-17,2.99,-0.01320132013
2019-11-18,2.91,-0.02675585284
2019-11-19,2.79,-0.0412371134
2019-11-20,2.72,-0.02508960573
2019-11-21,2.7,-0.007352941176
2019-11-22,2.55,-0.05555555556
2019-11-23,2.35,-0.07843137255
2019-11-24,2.42,0.02978723404
2019-11-25,2.22,-0.0826446281
2019-11-26,2.27,0.02252252252
2019-11-27,2.26,-0.004405286344
2019-11-28,2.23,-0.01327433628
2019-11-29,2.27,0.01793721973
2019-11-30,2.34,0.03083700441
2019-12-01,2.24,-0.04273504274
2019-12-02,2.16,-0.03571428571
2019-12-03,2.09,-0.03240740741
2019-12-04,2.12,0.01435406699
2019-12-05,2.03,-0.04245283019
2019-12-06,2.01,-0.009852216749
2019-12-07,2.08,0.03482587065
2019-12-08,2.04,-0.01923076923
2019-12-09,2.05,0.004901960784
2019-12-10,2.08,0.01463414634
2019-12-11,2.26,0.08653846154
2019-12-12,2.17,-0.03982300885
2019-12-13,2.11,-0.02764976959
2019-12-14,2.07,-0.01895734597
2019-12-15,2,-0.03381642512
2019-12-16,2.07,0.035
2019-12-17,1.97,-0.04830917874
2019-12-18,1.75,-0.1116751269
2019-12-19,1.87,0.06857142857
2019-12-20,1.8,-0.03743315508
2019-12-21,1.92,0.06666666667
2019-12-22,1.86,-0.03125
2019-12-23,1.93,0.0376344086
2019-12-24,1.87,-0.0310880829
2019-12-25,1.85,-0.01069518717
2019-12-26,1.78,-0.03783783784
2019-12-27,1.85,0.0393258427
2019-12-28,1.87,0.01081081081
2019-12-29,1.87,0
2019-12-30,1.9,0.01604278075
2019-12-31,1.82,-0.04210526316
2020-01-01,1.76,-0.03296703297
2020-01-02,1.8,0.02272727273
2020-01-03,1.73,-0.03888888889
2020-01-04,1.8,0.04046242775
2020-01-05,1.82,0.01111111111
2020-01-06,1.79,-0.01648351648
2020-01-07,1.93,0.0782122905
2020-01-08,2.11,0.0932642487
2020-01-09,2.18,0.03317535545
2020-01-10,2.17,-0.004587155963
2020-01-11,2.22,0.02304147465
2020-01-12,2.27,0.02252252252
2020-01-13,2.23,-0.01762114537
2020-01-14,2.19,-0.01793721973
2020-01-15,2.39,0.09132420091
2020-01-16,2.4,0.004184100418
