,,BTC
,close,daily_return
time,,
2014-03-29,502.3,-0.002700234285
2014-03-30,469.94,-0.0644236512
2014-03-31,457.4,-0.02668425756
2014-04-01,478.72,0.04661128115
2014-04-02,437.52,-0.08606283422
2014-04-03,447.08,0.02185042969
2014-04-04,448.88,0.004026125078
2014-04-05,464.83,0.03553288184
2014-04-06,460.7,-0.008884968698
2014-04-07,457.79,-0.006316474929
2014-04-08,450.46,-0.01601170843
2014-04-09,440.2,-0.02277671713
2014-04-10,360.84,-0.1802816901
2014-04-11,420.06,0.1641170602
2014-04-12,420.66,0.001428367376
2014-04-13,414.95,-0.01357390767
2014-04-14,457.63,0.1028557658
2014-04-15,520.12,0.1365513625
2014-04-16,529.16,0.01738060448
2014-04-17,494.4,-0.06568901655
2014-04-18,478.23,-0.03270631068
2014-04-19,501.55,0.04876314744
2014-04-20,497.32,-0.008433855049
2014-04-21,492.67,-0.009350116625
2014-04-22,484.85,-0.01587269369
2014-04-23,487.52,0.005506857791
2014-04-24,494.27,0.01384558582
2014-04-25,458.81,-0.07174216521
2014-04-26,453.8,-0.01091955276
2014-04-27,437.92,-0.03499338916
2014-04-28,436.92,-0.002283522104
2014-04-29,443.27,0.01453355305
2014-04-30,445,0.003902813184
2014-05-01,455.09,0.0226741573
2014-05-02,443.47,-0.02553341097
2014-05-03,434.03,-0.02128667103
2014-05-04,433.94,-0.0002073589383
2014-05-05,429.08,-0.01119970503
2014-05-06,426.76,-0.005406917125
2014-05-07,439.3,0.02938419721
2014-05-08,437.36,-0.004416116549
2014-05-09,447.49,0.02316169746
2014-05-10,452.5,0.01119578091
2014-05-11,436.28,-0.03584530387
2014-05-12,439.19,0.006670028422
2014-05-13,437.3,-0.004303376671
2014-05-14,444.25,0.01589297965
2014-05-15,444.25,0
2014-05-16,445.16,0.002048396173
2014-05-17,445.85,0.001550004493
2014-05-18,444.21,-0.003678367164
2014-05-19,443.87,-0.0007654037505
2014-05-20,483.42,0.08910266519
2014-05-21,488.77,0.01106698109
2014-05-22,522.61,0.06923501852
2014-05-23,524.48,0.003578194064
2014-05-24,523.11,-0.002612111043
2014-05-25,569.38,0.08845175967
2014-05-26,579.62,0.01798447434
2014-05-27,569.48,-0.01749422035
2014-05-28,571.55,0.003634894992
2014-05-29,565.26,-0.0110051614
2014-05-30,621.15,0.09887485405
2014-05-31,620.5,-0.001046446108
2014-06-01,640.16,0.03168412571
2014-06-02,656.41,0.02538427893
2014-06-03,667.37,0.01669688152
2014-06-04,641.18,-0.039243598
2014-06-05,658.1,0.02638884557
2014-06-06,648.63,-0.01438991035
2014-06-07,651.71,0.004748469852
2014-06-08,649.9,-0.002777308926
2014-06-09,643.9,-0.009232189568
2014-06-10,649.06,0.008013666718
2014-06-11,630.04,-0.02930391643
2014-06-12,567.17,-0.09978731509
2014-06-13,594.68,0.04850397588
2014-06-14,570,-0.04150131163
2014-06-15,583.41,0.02352631579
2014-06-16,592.52,0.01561509059
2014-06-17,607.16,0.02470802673
2014-06-18,604.19,-0.004891626589
2014-06-19,593.39,-0.01787517172
2014-06-20,590.05,-0.005628675913
2014-06-21,591.26,0.002050673672
2014-06-22,595.04,0.006393126543
2014-06-23,586.15,-0.01494017209
2014-06-24,582.41,-0.006380619295
2014-06-25,561.47,-0.03595405299
2014-06-26,579.59,0.03227242773
2014-06-27,598.24,0.03217791887
2014-06-28,594.87,-0.005633190693
2014-06-29,598.49,0.006085363189
2014-06-30,637.75,0.0655984227
2014-07-01,643.94,0.009705997648
2014-07-02,648.11,0.006475758611
2014-07-03,640.28,-0.0120812825
2014-07-04,627.13,-0.02053788967
2014-07-05,627.58,0.000717554574
2014-07-06,631,0.005449504446
2014-07-07,619.5,-0.01822503962
2014-07-08,620.05,0.0008878127522
2014-07-09,620.16,0.000177405048
2014-07-10,615.13,-0.008110810114
2014-07-11,630.84,0.02553931689
2014-07-12,633.64,0.004438526409
2014-07-13,627.46,-0.009753172148
2014-07-14,618.21,-0.01474197558
2014-07-15,618.95,0.001197004254
2014-07-16,614.15,-0.007755069069
2014-07-17,622.9,0.01424733371
2014-07-18,627.02,0.006614223792
2014-07-19,626.18,-0.001339670186
2014-07-20,620.51,-0.009054904341
2014-07-21,619.91,-0.000966946544
2014-07-22,619.01,-0.001451823652
2014-07-23,617.94,-0.001728566582
2014-07-24,599.81,-0.02933941807
2014-07-25,600.1,0.0004834864374
2014-07-26,593.78,-0.01053157807
2014-07-27,590.38,-0.005726026474
2014-07-28,585.28,-0.008638504014
2014-07-29,581.71,-0.006099644615
2014-07-30,560.79,-0.03596293686
2014-07-31,583.18,0.03992581893
2014-08-01,593.87,0.0183305326
2014-08-02,588.23,-0.009497027969
2014-08-03,585.57,-0.004522040698
2014-08-04,586.37,0.001366190208
2014-08-05,582.42,-0.006736361001
2014-08-06,583.32,0.001545276605
2014-08-07,587.2,0.006651580608
2014-08-08,590.91,0.006318119891
2014-08-09,588.11,-0.004738454249
2014-08-10,588.5,0.0006631412491
2014-08-11,573.41,-0.02564146134
2014-08-12,567.4,-0.01048115659
2014-08-13,543.67,-0.04182234755
2014-08-14,503.71,-0.07350046903
2014-08-15,492.28,-0.02269162812
2014-08-16,521.05,0.05844234988
2014-08-17,494.78,-0.05041742635
2014-08-18,459.89,-0.07051618901
2014-08-19,484.15,0.05275174498
2014-08-20,514.19,0.0620468863
2014-08-21,515.6,0.002742177016
2014-08-22,515.83,0.0004460822343
2014-08-23,496.57,-0.03733788264
2014-08-24,508.11,0.02323942244
2014-08-25,500.39,-0.01519356045
2014-08-26,510.64,0.02048402246
2014-08-27,510.45,-0.0003720820931
2014-08-28,506.92,-0.006915466745
2014-08-29,508.1,0.002327783477
2014-08-30,501.53,-0.01293052549
2014-08-31,480.03,-0.04286882141
2014-09-01,475.82,-0.008770285191
2014-09-02,474.69,-0.002374847631
2014-09-03,474.73,8.43E-05
2014-09-04,489.55,0.03121774482
2014-09-05,480.24,-0.01901746502
2014-09-06,482.36,0.004414459437
2014-09-07,480.6,-0.003648727092
2014-09-08,471.13,-0.019704536
2014-09-09,471.75,0.001315984972
2014-09-10,477.11,0.01136195019
