,,BTC
,close,daily_return
time,,
2014-08-11,573.41,-0.025641461
2014-08-12,567.4,-0.010481157
2014-08-13,543.67,-0.041822348
2014-08-14,503.71,-0.073500469
2014-08-15,492.28,-0.022691628
2014-08-16,521.05,0.05844235
2014-08-17,494.78,-0.050417426
2014-08-18,459.89,-0.070516189
2014-08-19,484.15,0.052751745
2014-08-20,514.19,0.062046886
2014-08-21,515.6,0.002742177
2014-08-22,515.83,0.000446082
2014-08-23,496.57,-0.037337883
2014-08-24,508.11,0.023239422
2014-08-25,500.39,-0.01519356
2014-08-26,510.64,0.020484022
2014-08-27,510.45,-0.000372082
2014-08-28,506.92,-0.006915467
2014-08-29,508.1,0.002327783
2014-08-30,501.53,-0.012930525
2014-08-31,480.03,-0.042868821
2014-09-01,475.82,-0.008770285
2014-09-02,474.69,-0.002374848
2014-09-03,474.73,8.43E-05
2014-09-04,489.55,0.031217745
2014-09-05,480.24,-0.019017465
2014-09-06,482.36,0.004414459
2014-09-07,480.6,-0.003648727
2014-09-08,471.13,-0.019704536
2014-09-09,471.75,0.001315985
2014-09-10,477.11,0.01136195
2014-09-11,476.38,-0.001530045
2014-09-12,473.69,-0.005646753
2014-09-13,476,0.004876607
2014-09-14,474.8,-0.002521008
2014-09-15,473.03,-0.003727885
2014-09-16,462.59,-0.022070482
2014-09-17,454.62,-0.01722908
2014-09-18,423.56,-0.068320795
2014-09-19,393.26,-0.0715365
2014-09-20,408.5,0.038752988
2014-09-21,396.62,-0.029082007
2014-09-22,398.31,0.004261005
2014-09-23,433.75,0.088975923
2014-09-24,420.92,-0.029579251
2014-09-25,407.98,-0.030742184
2014-09-26,402.88,-0.012500613
2014-09-27,398.01,-0.012087967
2014-09-28,375.99,-0.055325243
2014-09-29,373.09,-0.007712971
2014-09-30,387.35,0.038221341
2014-10-01,380.89,-0.016677424
2014-10-02,371.84,-0.023760141
2014-10-03,356.19,-0.042087995
2014-10-04,327.88,-0.079480053
2014-10-05,325.11,-0.008448213
2014-10-06,328.73,0.011134693
2014-10-07,331.72,0.00909561
2014-10-08,353.39,0.065326179
2014-10-09,358.4,0.014176972
2014-10-10,357.55,-0.002371652
2014-10-11,359.52,0.005509719
2014-10-12,374.17,0.040748776
2014-10-13,387.04,0.03439613
2014-10-14,398.29,0.029066763
2014-10-15,392.19,-0.015315474
2014-10-16,379.39,-0.032637242
2014-10-17,380.29,0.002372229
2014-10-18,389.12,0.023219122
2014-10-19,386.94,-0.005602385
2014-10-20,379.77,-0.018530005
2014-10-21,382.41,0.006951576
2014-10-22,379.44,-0.007766533
2014-10-23,356.2,-0.061248155
2014-10-24,354.32,-0.005277934
2014-10-25,347.03,-0.020574622
2014-10-26,350.19,0.009105841
2014-10-27,348.29,-0.005425626
2014-10-28,351.56,0.009388728
2014-10-29,333.15,-0.052366595
2014-10-30,343.67,0.031577368
2014-10-31,336.59,-0.020601158
2014-11-01,323.98,-0.037463977
2014-11-02,323.98,0
2014-11-03,324,6.17E-05
2014-11-04,328.01,0.012376543
2014-11-05,337.59,0.029206427
2014-11-06,347.82,0.03030303
2014-11-07,341.23,-0.018946582
2014-11-08,344.18,0.008645195
2014-11-09,363.42,0.055900982
2014-11-10,363.76,0.000935557
2014-11-11,366.15,0.006570266
2014-11-12,418.58,0.143192681
2014-11-13,414.71,-0.009245544
2014-11-14,395.24,-0.04694847
2014-11-15,377.33,-0.045314239
2014-11-16,387.62,0.027270559
2014-11-17,384.9,-0.007017182
2014-11-18,374.87,-0.026058717
2014-11-19,376.79,0.005121776
2014-11-20,355.39,-0.056795563
2014-11-21,349.39,-0.016882861
2014-11-22,351.55,0.006182203
2014-11-23,366.78,0.043322429
2014-11-24,377.74,0.029881673
2014-11-25,375.25,-0.006591836
2014-11-26,365.77,-0.025263158
2014-11-27,368.45,0.007327009
2014-11-28,376.95,0.023069616
2014-11-29,374.96,-0.005279215
2014-11-30,376.47,0.004027096
2014-12-01,379.49,0.008021888
2014-12-02,381.38,0.004980368
2014-12-03,374.1,-0.019088573
2014-12-04,368.23,-0.015690992
2014-12-05,376.38,0.022132906
2014-12-06,373.67,-0.00720017
2014-12-07,374.45,0.002087403
2014-12-08,361.43,-0.034770997
2014-12-09,350.93,-0.029051269
2014-12-10,346.98,-0.011255806
2014-12-11,346.91,-0.000201741
2014-12-12,351.5,0.013231097
2014-12-13,347.48,-0.0114367
2014-12-14,350.13,0.007626338
2014-12-15,344.62,-0.015737012
2014-12-16,328.53,-0.046689107
2014-12-17,318.83,-0.029525462
2014-12-18,309.76,-0.028447762
2014-12-19,317.54,0.025116219
2014-12-20,328.77,0.035365623
2014-12-21,319.5,-0.028196003
2014-12-22,329.89,0.032519562
2014-12-23,333.97,0.012367759
2014-12-24,322.19,-0.035272629
2014-12-25,318.17,-0.01247711
2014-12-26,327.72,0.030015401
2014-12-27,314.57,-0.040125717
2014-12-28,316.49,0.00610357
2014-12-29,312.63,-0.012196278
2014-12-30,310.08,-0.008156607
2014-12-31,317.38,0.023542312
2015-01-01,313.99,-0.010681202
2015-01-02,314.45,0.001465015
2015-01-03,286.57,-0.088662744
2015-01-04,260.94,-0.089437136
2015-01-05,273.22,0.047060627
2015-01-06,285.37,0.044469658
2015-01-07,295.87,0.036794337
2015-01-08,284.45,-0.038598033
2015-01-09,289.57,0.017999648
2015-01-10,274.53,-0.051939082
2015-01-11,267.18,-0.02677303
2015-01-12,268.35,0.00437907
2015-01-13,221.44,-0.174809018
2015-01-14,172.15,-0.222588512
2015-01-15,210.56,0.223119373
2015-01-16,205.82,-0.022511398
2015-01-17,199.49,-0.030755029
2015-01-18,208.99,0.047621435
2015-01-19,214.54,0.026556295
2015-01-20,210.51,-0.018784376
2015-01-21,224.05,0.064319985
2015-01-22,232.04,0.035661683
2015-01-23,232.9,0.003706258
2015-01-24,248.1,0.065264062
2015-01-25,253.84,0.023135832
2015-01-26,271.29,0.068744091
2015-01-27,259.24,-0.044417413
2015-01-29,232.53,-0.10303194
2015-01-30,228.64,-0.016729024
2015-01-31,218.02,-0.046448565
2015-02-01,226.27,0.037840565
2015-02-02,240.02,0.060768109
2015-02-03,226.01,-0.058370136
2015-02-04,225.31,-0.003097208
2015-02-05,216.91,-0.037281967
2015-02-06,222.49,0.025724955
