,,MKR
Date,close,daily_return
11/3/2020,520.84,0.000845503
11/4/2020,521.57,0.001401582
11/5/2020,529.95,0.016066875
11/6/2020,539.62,0.018247004
11/7/2020,519.54,-0.037211371
11/8/2020,534.38,0.028563729
11/9/2020,523.28,-0.020771735
11/10/2020,550.35,0.051731387
11/11/2020,543.88,-0.011756155
11/12/2020,533.38,-0.019305729
11/13/2020,553.88,0.038434137
11/14/2020,528.82,-0.045244457
11/15/2020,515.98,-0.024280474
11/16/2020,514.77,-0.002345052
11/17/2020,525.27,0.020397459
11/18/2020,510.5,-0.028118872
11/19/2020,509.14,-0.002664055
11/20/2020,516.62,0.01469144
11/21/2020,536.67,0.038809957
11/22/2020,555.58,0.035235806
11/23/2020,592.81,0.067011052
11/24/2020,595,0.00369427
11/25/2020,563,-0.053781513
11/26/2020,528.24,-0.061740675
11/27/2020,515.07,-0.024931849
11/28/2020,522.87,0.015143573
11/29/2020,536.3,0.025685161
11/30/2020,559.09,0.042494872
12/1/2020,524.68,-0.061546442
12/2/2020,549.94,0.04814363
12/3/2020,591.06,0.074771793
12/4/2020,525.83,-0.110361046
12/5/2020,533.64,0.014852709
12/6/2020,529.09,-0.008526347
12/7/2020,519.99,-0.017199342
12/8/2020,502.06,-0.034481432
12/9/2020,506.5,0.008843565
12/10/2020,523.84,0.034234946
12/11/2020,503.95,-0.037969609
12/12/2020,513.74,0.01942653
12/13/2020,526.56,0.024954257
12/14/2020,540.29,0.026074901
12/15/2020,530.92,-0.017342538
12/16/2020,539.07,0.015350712
12/17/2020,537.94,-0.002096203
12/18/2020,569.11,0.057943265
12/19/2020,566.74,-0.004164397
12/20/2020,546.53,-0.035660091
12/21/2020,526.62,-0.036429839
12/22/2020,548.77,0.042060689
12/23/2020,517.86,-0.056325965
12/24/2020,527.54,0.018692311
12/25/2020,530.75,0.006084847
12/26/2020,536.67,0.011154027
12/27/2020,564.38,0.05163322
12/28/2020,584.04,0.034834686
12/29/2020,564.55,-0.033371002
12/30/2020,576.02,0.020317067
12/31/2020,586.96,0.018992396
1/1/2021,582.22,-0.008075508
1/2/2021,609.31,0.046528804
1/3/2021,678.72,0.113915741
1/4/2021,682.63,0.005760844
1/5/2021,762.64,0.117208444
1/6/2021,1023.96,0.342651841
1/7/2021,1064.73,0.039816008
1/8/2021,1045.07,-0.018464775
1/9/2021,1578.58,0.510501689
1/10/2021,1514.96,-0.040302044
1/11/2021,1408.39,-0.070345092
1/12/2021,1483.14,0.053074788
1/13/2021,1545.03,0.041729034
1/14/2021,1591.17,0.029863498
1/15/2021,1476.6,-0.07200362
