Date,Open*,High,Low,Close**,Volume,Market Cap
7/30/2021,2898.47,2942.67,2773.74,2917.43,120660147,2892131669
7/29/2021,2656.96,2898.88,2613.79,2895.59,133604317,2870476366
7/28/2021,2690.51,2715,2620.58,2653.45,98708098,2630438274
7/27/2021,2597.28,2722.47,2509.33,2685.88,105878747,2662588172
7/26/2021,2571.29,2840.76,2553.61,2603.85,151296490,2581273361
7/25/2021,2577.41,2590.43,2461.34,2568.89,95870576,2546609591
7/24/2021,2512.57,2611.25,2494.68,2577.71,94700099,2555360207
7/23/2021,2435.81,2532.54,2401.94,2514.4,104617521,2492591370
7/22/2021,2438.42,2472.56,2385.5,2438.97,92064264,2417822781
7/21/2021,2187.67,2478.53,2156.12,2434.08,121525410,2412976058
7/20/2021,2291.84,2321.07,2117.89,2190.36,101651959,2171370356
7/19/2021,2470.23,2478.93,2277.33,2283.06,96913831,2263259178
7/18/2021,2424.6,2544.67,2409.33,2471.35,90947936,2449922439
7/17/2021,2421.53,2463.64,2385.64,2424.45,83169577,2403421510
7/16/2021,2564.64,2612.48,2411.83,2424.09,102207469,2403072710
7/15/2021,2514.1,2628.24,2453.98,2560.9,125645590,2538689405
7/14/2021,2523.36,2578.15,2403.7,2515.1,89141386,2493292612
7/13/2021,2604.9,2641.74,2506.45,2523.9,85942349,2502014744
7/12/2021,2668.61,2732.97,2572.31,2608.42,106970762,2585798687
7/11/2021,2673.68,2718.51,2617.9,2667.41,92776914,2644280102
7/10/2021,2707.26,2766.76,2611.67,2667.52,95109224,2644386586
7/9/2021,2656.84,2816.2,2559.2,2701.4,133029525,2677972994
7/8/2021,2863.5,2865.91,2600.93,2661.63,153687153,2638579273
7/7/2021,2749.74,2939.54,2736.8,2856.12,178716001,2831385120
7/6/2021,2755.45,3103.68,2726.95,2747.3,258169569,2723511008
7/5/2021,2800.5,2820.89,2639.69,2750.07,132180516,2726256189
7/4/2021,2638.76,2903.23,2571.87,2798.52,129735246,2774284028
7/3/2021,2583.17,2686.93,2528.87,2635.03,93185154,2612213383
7/2/2021,2506.33,2591.55,2411.3,2580.66,112281725,2558312430
7/1/2021,2677.8,2858.43,2481.63,2508.45,246774826,2486729401
6/30/2021,2425.76,2668.58,2270.83,2668.58,131722291,2645500850
6/29/2021,2211.22,2493.38,2206.37,2410.92,133042374,2390063641
6/28/2021,2130.13,2289.25,2084.74,2213.49,105849880,2194344384
6/27/2021,2009.76,2133.39,1960.83,2130.05,83702989,2111624292
6/26/2021,1972.97,2039.65,1897.06,2005.61,101503567,1988260041
6/25/2021,2236.72,2271.44,1961.07,1974.73,114095751,1957706179
6/24/2021,2315.55,2330.38,2071.49,2235.19,143390200,2216014825
6/23/2021,2267.86,2477.24,2217.15,2361.18,140161347,2340931413
6/22/2021,2097.74,2396.49,1930.59,2261.65,194542453,2242250212
6/21/2021,2704.55,2724.69,2073.19,2102.01,143748987,2083979805
6/20/2021,2587.69,2744.28,2451.65,2707.93,91854031,2684708942
6/19/2021,2690.01,2715.41,2582.78,2596.77,80165256,2574495194
6/18/2021,2914.96,2914.96,2577.99,2686.8,103226214,2663752165
6/17/2021,2947.57,3065.98,2859.55,2912.53,78776933,2887546069
6/16/2021,3155.19,3155.19,2925.98,2944.64,91447229,2919384543
6/15/2021,3218.86,3278.78,3106.25,3223.14,103577384,3195498202
6/14/2021,3146.58,3262.33,3090.53,3190.8,96978904,3163430690
6/13/2021,2940.56,3188.23,2874.17,3147.63,95168806,3120630668
6/12/2021,2925.48,3042.87,2781.54,2937.65,107907614,2912451855
6/11/2021,3114.22,3145.88,2880.95,2920.7,96310078,2895655101
6/10/2021,3329.67,3339.04,3051.1,3116.09,113360079,3089365312
6/9/2021,3241.6,3340.26,3042.24,3324.82,149857133,3296308291
6/8/2021,3309.7,3364.75,2894.58,3251.08,217626261,3223372629
6/7/2021,3615.09,3808.24,3287.45,3301.1,168996344,3272961662
6/6/2021,3557.1,3642.11,3514.38,3617.61,104783667,3586781142
6/5/2021,3731.66,3915.4,3420.44,3560.81,198422741,3530457587
6/4/2021,3657.49,3968.78,3449.4,3729.45,359861389,3697721687
6/3/2021,3564.2,3720.58,3536.11,3656.25,155580374,3625150188
6/2/2021,3594.16,3724.21,3509.67,3560.78,145147486,3530488315
6/1/2021,3597.8,3695.5,3484.13,3597.72,193150118,3567143993
5/31/2021,3309.22,3609.26,3170.21,3592.3,200461494,3561767056
5/30/2021,3066.39,3445.69,2856.77,3309.95,214585881,3281818008
5/29/2021,3251.15,3449.8,2873.01,3059.17,195692290,3033192608
5/28/2021,3712.2,3777.24,3130.11,3250.11,231798096,3222520429
5/27/2021,3973.41,3973.41,3582.38,3704.65,237614099,3673199568
5/26/2021,3863.7,4030.13,3676.45,3973.24,360408547,3939502985
5/25/2021,4172.39,4334.24,3304.91,3865.09,624392843,3832423772
5/24/2021,2726.74,4238.76,2726.74,4176.24,1215574613,4141000680
5/23/2021,2770.84,2882.96,1835.96,2736.42,628742188,2715836539
5/22/2021,3118.79,3211.26,2552.79,2767.62,395228772,2747229877
5/21/2021,3942.36,4178.73,2721.44,3116.38,365983887,3094205815
5/20/2021,3480.93,4217.34,3037.36,3956.25,475673640,3928867613
5/19/2021,4657.3,4735.19,2571.3,3510.68,668547468,3489623136
5/18/2021,4250.52,5034.97,4212.15,4657.82,411613893,4631735603
5/17/2021,4545.25,4777.63,4137.79,4249.34,420356936,4225548979
5/16/2021,4596.07,4915.64,4212.11,4548.46,364410792,4523555982
5/15/2021,5007.62,5131.25,4591.9,4601.49,378885412,4576611178
5/14/2021,4757.05,5344.33,4724.21,5009.06,387449597,4982285140
5/13/2021,4923.4,5301.13,4447.67,4764.65,695769388,4739267356
5/12/2021,5373.72,6074.91,4870.02,4870.02,836031974,4844575430
5/11/2021,4984.21,5406.88,4744.44,5378.7,390896422,5353089254
5/10/2021,5280.56,5443.91,4700.7,4993.97,381972837,4970189873
5/9/2021,5637.7,5682.68,5056.14,5282.58,366649358,5257428357
5/8/2021,5082.27,5840.38,5011.64,5607.19,662873969,5580493681
5/7/2021,5055.63,5354.79,4872.93,5081.07,362735396,5056873462
5/6/2021,5414.55,5434.62,4924.83,5049.03,463186404,5024991813
5/5/2021,5242.05,5511.59,5119.55,5411.55,572520782,5385781149
5/4/2021,5982.14,6011.9,5099.57,5251.64,952493327,5226634897
5/3/2021,4907.47,6339.02,4907.47,6012.46,1144731425,5983831674
5/2/2021,4779.69,5095.49,4519.37,4902.87,449717726,4879527217
5/1/2021,4351.02,4993.36,4292.48,4777.09,505633521,4754345804
4/30/2021,4259.31,4355.27,4081.47,4355.27,248627513,4334536316
4/29/2021,4405.31,4409.52,4069.77,4259.75,295690848,4239472268
4/28/2021,4554.56,4653.31,4143.57,4406.94,301285545,4385960929
4/27/2021,4018.01,4597.32,4015.3,4520.3,401553050,4498773028
4/26/2021,3820.98,4143.95,3754.79,4020.17,297750656,4001026939
4/25/2021,4011.97,4128.76,3575.95,3825.86,321972422,3807641396
4/24/2021,4071.25,4152.16,3612.68,4009.41,441585628,3990323522
4/23/2021,4023.38,4547.93,3261.69,4079.54,1299749438,4060114919
4/22/2021,4042.67,4943.66,3852.67,4034.26,1511675210,4015049910
4/21/2021,3454.25,4260.36,3376.4,4020.19,645363198,4001044923
4/20/2021,3512.68,3650.71,3178.27,3452.38,322106362,3435945803
4/19/2021,3245.29,3848.42,3172.47,3520.08,501944213,3503315158
4/18/2021,3343.41,3366.5,2796.74,3233.73,303739895,3218338247
4/17/2021,3378.29,3643.05,3321.91,3341.22,256231019,3325314586
4/16/2021,3763.4,3824.65,3221.26,3381.33,534994168,3365229652
4/15/2021,2680.51,4065.12,2680.51,3770.8,1307858190,3752846005
4/14/2021,2573.57,2683.23,2495.98,2682.37,202588564,2669598263
4/13/2021,2680.49,2741.84,2439.85,2574.44,218403491,2562177651
4/12/2021,2275.84,2699.28,2273.77,2657.88,267640808,2645228613
4/11/2021,2231.16,2302.79,2181.56,2277.49,88365945,2266646174
4/10/2021,2223.28,2341.68,2177.13,2231.51,127851842,2220889632
4/9/2021,2201.36,2281.89,2173.66,2224.55,92404316,2213954142
4/8/2021,2110.04,2230.43,2082.72,2201.72,96354239,2191235746
4/7/2021,2293.5,2349.76,2026.51,2103.18,147498156,2093168888
4/6/2021,2327.49,2346.36,2189.98,2295.12,117312912,2284190739
4/5/2021,2308.79,2364.25,2202.28,2328.59,93222670,2317499055
4/4/2021,2236.48,2347.72,2227.89,2308.02,104507609,2297031463
4/3/2021,2480.89,2553.02,2226.76,2237.21,144097469,2226562027
4/2/2021,2296.46,2563.73,2275.12,2483.64,194064040,2471818236
4/1/2021,2103.3,2360.14,2103.3,2302.54,159875731,2291579038
3/31/2021,2082.05,2129.71,2031.51,2103.51,70481600,2093490598
3/30/2021,2089.98,2149.28,2073.38,2082.05,64516025,2072140344
3/29/2021,2062.15,2128.21,2037.42,2090.22,66986853,2080264717
3/28/2021,2145.5,2149.05,2027.79,2063.13,85592692,2053303367
3/27/2021,1982.19,2224.73,1961.19,2146.17,180843951,2135952427
3/26/2021,1890.8,1993.82,1890.8,1982.31,73439409,1972869939
3/25/2021,1825.31,1931.61,1806.95,1890.32,109058791,1881323186
3/24/2021,2014.63,2068.04,1799.21,1826.34,85175904,1817640375
3/23/2021,1976.1,2025.49,1914.6,2017.28,86107475,2007680103
3/22/2021,2104.68,2115.84,1963.21,1976.52,82684664,1967104891
3/21/2021,2140.49,2164.1,2072.35,2103.98,74760853,2093966098
3/20/2021,2105.34,2249.65,2100.67,2140.34,113820252,2130146965
3/19/2021,2113.08,2136.13,2068.25,2105.64,73080081,2095615103
3/18/2021,2106.39,2177.96,2100.48,2112.71,82763434,2102652793
3/17/2021,2066.75,2163.76,2031.08,2107.91,74491833,2097872287
3/16/2021,1995.63,2099.31,1940.3,2067.21,89134514,2057365544
3/15/2021,2056.18,2095.97,1945.36,1995.93,99094945,1986423748
3/14/2021,2174.72,2194.7,2057.5,2057.5,89257574,2047700500
3/13/2021,2139.14,2219.77,2089.7,2175.57,90461070,2165209635
3/12/2021,2227.29,2283.81,2102.42,2139.25,99556903,2129061819
3/11/2021,2255.33,2279.8,2122.15,2227.02,100396570,2216415155
3/10/2021,2258.72,2317.51,2177.66,2256.74,112379851,2245997047
